GO_ID	D8vsD0	D11vsD8	D11vsD0	D18vsD8	D18vsD0
GO:0009719	1	1.62577828507145e-08	1	1	1
GO:0005488	1	1.8797614405856e-08	5.99573967498727e-16	8.13490273679884e-07	1
GO:0005198	1	2.1994367927674e-08	1	5.14294875092158e-15	2.74230884735184e-11
GO:0048513	1	2.29018818175238e-08	5.12759401423073e-19	4.15725171269265e-07	2.23945426111524e-15
GO:0030334	1	3.2783957998214e-08	1	7.4979878670278e-10	1.4532075965711e-21
GO:0051270	1	3.47394163682847e-08	1	1.95511704479493e-08	5.81324741725455e-19
GO:2000145	1	4.61874333281091e-08	1	3.21458719754313e-09	2.92037510459938e-20
GO:0009888	1	5.43092695259536e-08	2.08103661146958e-19	1	1.35634979327439e-14
GO:0097435	1	7.88668873646102e-08	1	1	1
GO:0032502	1	8.99048592130853e-08	2.90432517167628e-34	1	2.86125478050864e-17
GO:0044877	1	1.01166562688317e-07	1	1	1
GO:0040012	1	1.35780947420533e-07	1	9.19352449334484e-09	1.96968260756497e-20
GO:0032787	1	1.42534606183223e-07	1	1	1
GO:0008283	1	1.93668496635106e-07	1	3.29432549098043e-07	1.1385837367692e-12
GO:0001944	1	2.56921453163625e-07	5.91709804827197e-15	3.10160305912651e-10	1.78917757086114e-16
GO:0007178	1	2.61622031636601e-07	1	4.04308559247033e-07	1
GO:0022607	1	2.75617623907211e-07	1	1	1
GO:0050793	1	2.89070889037643e-07	2.45407325616055e-19	1	4.80493792038222e-12
GO:0001568	1	2.91343083913412e-07	3.27179136014387e-15	4.26155459207553e-10	3.90451890248016e-16
GO:0098643	1	3.19501872409467e-07	1	8.85678884772235e-10	1
GO:0005583	1	3.19501872409467e-07	1	8.85678884772235e-10	1
GO:0007049	1	4.13458693082749e-07	1	1	1
GO:0035295	1	4.27345762312475e-07	3.9474194328638e-17	2.39612034986524e-07	1.06305105160208e-17
GO:0042060	1	4.32699276316625e-07	1	2.98068175420863e-06	2.80541854271414e-13
GO:0044281	1	4.52860977248253e-07	1	1	1
GO:0048646	1	4.60487450279903e-07	8.27776137998368e-15	1.28170882100701e-10	6.49136644447194e-12
GO:0006996	1	5.904730092783e-07	1	1	1
GO:0001667	1	5.94840518427604e-07	1	1	1
GO:0032964	1	6.28339355729273e-07	1	1	1
GO:0071310	1	6.28780082227612e-07	1	1.49201588524458e-06	8.73925811655641e-10
GO:0009887	1	8.53671464962822e-07	1	1	2.35550241120123e-14
GO:0005539	1	8.54695716505519e-07	1	2.2269633570566e-08	1.7634006079117e-11
GO:0007010	1	8.71521478324606e-07	1	1	1
GO:0010604	1	9.20671920371354e-07	1	2.87031375543725e-06	1
GO:0000228	1	1.14548938310763e-06	1	1	1
GO:0007167	1	1.16245381870713e-06	1	1	2.96120894332859e-09
GO:0051179	1	1.18771163715919e-06	7.65381657037318e-21	3.13934491149173e-06	1
GO:0015849	1	1.27388828088277e-06	1	1	1
GO:0060485	1	1.32749038894844e-06	1	8.17459474944628e-07	8.55379443808629e-12
GO:0045595	1	1.54280015086852e-06	1	1	1
GO:0042127	1	1.58619172379468e-06	1	7.57206763937611e-07	6.76788131506499e-13
GO:0040007	1	1.60365704543932e-06	1	1	1
GO:0005581	1	1.8329587652405e-06	1	2.47992307039403e-12	7.51003224013701e-13
GO:2000147	1	1.85174523245203e-06	1	1.51002262157138e-07	4.82426987770034e-13
GO:0009611	1	1.9641703121372e-06	1	5.58105765052947e-06	1.80277586539143e-14
GO:0048762	1	2.00695249068556e-06	1	3.60202360339563e-07	1
GO:0051173	1	2.16969482933234e-06	1	1	1
GO:0043232	1	2.25696253476845e-06	1	1	1
GO:0043228	1	2.25696253476845e-06	1	1	1
GO:0048519	1	2.42483309958204e-06	1.15445518835804e-15	1	4.45538325015196e-10
GO:0022402	1	2.43670966024797e-06	1	1	1
GO:0048589	1	2.71789219294701e-06	1	1	1
GO:0030335	1	2.89134459765056e-06	1	6.98033154831107e-08	2.31859116238485e-13
GO:0051272	1	2.93792604996247e-06	1	2.39294571301262e-07	4.84321385072267e-13
GO:0044085	1	3.00678092988265e-06	1	1	1
GO:0071363	1	3.02785489437922e-06	1	1	1
GO:0040017	1	3.02785489437922e-06	1	2.46612619575885e-07	1.64357670154825e-13
GO:0048523	1	3.52718731217231e-06	8.87962592838337e-16	1	7.01842810702165e-10
GO:0071944	1	3.56080763083475e-06	1.83701397353766e-40	6.42839690257182e-14	2.57969778939132e-29
GO:0000278	1	3.65869036589285e-06	1	1	1
GO:0035239	1	3.9546643152782e-06	7.84366833894898e-16	7.80354716255939e-08	7.25003440325346e-15
GO:0031325	1	4.00388146350516e-06	1	1	1
GO:0051128	1	4.08682590743574e-06	5.68105098706617e-16	1	1
GO:0070887	1	4.31088585744825e-06	1	1.51730126524683e-06	1.5583926131426e-10
GO:0030054	1	1	7.53063565721262e-35	1	1
